Origin	Ann_ID	Skill	Knowledge	Interest
ALL	Interactivity	40.0	32.0	0.0
ALL	Acceleration	58.82352941176471	64.70588235294117	0.0
ALL	User_interface	70.58823529411765	76.0	0.0
ALL	Mass_production	76.47058823529412	70.58823529411765	0.0
ALL	Vision_in_Product_Design	44.44444444444444	44.44444444444444	0.0
ALL	Plastic	0.0	50.0	50.0
ALL	Topical	60.0	60.0	66.66666666666666
ALL	Digital_photography	44.44444444444444	44.44444444444444	0.0
ALL	Broadcast_programming	0.0	80.76923076923077	0.0
ALL	Innovation	84.0	82.0	66.66666666666666
ALL	Integrated_circuit	82.6086956521739	39.130434782608695	64.28571428571429
ALL	Document	12.0	16.0	0.0
ALL	Role_model	66.66666666666666	60.0	70.0
ALL	Lecturer	28.26086956521739	46.0	0.0
ALL	Designer	56.00000000000001	44.0	22.22222222222222
ALL	Opportunity_cost	65.21739130434783	65.21739130434783	0.0
ALL	Business	64.70588235294117	82.35294117647058	0.0
ALL	Internship	71.42857142857143	50.0	0.0
ALL	Heat_transfer	82.35294117647058	82.35294117647058	0.0
ALL	Philosophy	54.347826086956516	54.347826086956516	0.0
ALL	YouTube	81.81818181818183	36.36363636363637	66.66666666666666
ALL	Heat	50.0	50.0	0.0
ALL	Computer_program	17.647058823529413	82.35294117647058	61.111111111111114
ALL	Kinematics	58.82352941176471	64.70588235294117	0.0
ALL	Sustainability	60.0	82.0	78.57142857142857
ALL	Cognitive_science	52.17391304347826	56.52173913043478	0.0
ALL	Studio	31.57894736842105	47.368421052631575	0.0
ALL	Physical_exercise	63.1578947368421	42.10526315789473	0.0
ALL	Statistical_hypothesis_testing	0.0	80.0	0.0
ALL	Translation	32.0	40.0	0.0
ALL	Turning	44.0	44.0	0.0
ALL	CD-ROM	66.66666666666666	66.66666666666666	0.0
ALL	Quality_(business)	76.47058823529412	76.47058823529412	0.0
ALL	Competitiveness	32.35294117647059	38.23529411764706	0.0
ALL	Sound	40.909090909090914	60.0	34.61538461538461
ALL	Customer	84.21052631578947	80.0	0.0
ALL	Community_service	66.66666666666666	66.66666666666666	0.0
ALL	Regular_expression	29.411764705882355	31.57894736842105	0.0
