Origin	Ann_ID	Skill	Knowledge	Interest
ALL	Film_treatment	66.66666666666666	66.66666666666666	0.0
ALL	Image_scanner	66.66666666666666	66.66666666666666	66.66666666666666
ALL	Cultural_history	77.77777777777779	66.66666666666666	0.0
ALL	Designer	76.0	60.0	50.0
ALL	Opportunity_cost	52.17391304347826	52.17391304347826	0.0
ALL	Business	41.17647058823529	29.411764705882355	0.0
ALL	Histogram	66.66666666666666	66.66666666666666	0.0
ALL	Joint	57.14285714285714	78.57142857142857	0.0
ALL	Lighting	66.66666666666666	66.66666666666666	66.66666666666666
ALL	Physical_exercise	21.052631578947366	21.052631578947366	0.0
ALL	Analog_signal	66.66666666666666	66.66666666666666	0.0
ALL	Film_editing	38.23529411764706	38.23529411764706	0.0
ALL	Cognition	0.0	18.0	0.0
ALL	Industry	56.666666666666664	56.666666666666664	0.0
ALL	Conversation	33.33333333333333	23.076923076923077	0.0
ALL	Visual_system	47.368421052631575	48.0	0.0
ALL	Mechanical_engineering	47.05882352941176	35.294117647058826	0.0
ALL	Rapid_prototyping	80.0	80.0	0.0
ALL	Recipe	42.857142857142854	42.857142857142854	0.0
ALL	Surface	78.57142857142857	78.57142857142857	80.0
ALL	COBOL	52.17391304347826	60.86956521739131	0.0
ALL	Index_(publishing)	50.0	50.0	0.0
ALL	Debate	40.0	36.0	0.0
ALL	Mathematical_analysis	41.17647058823529	42.10526315789473	0.0
ALL	Discrete_Fourier_transform	66.66666666666666	66.66666666666666	0.0
ALL	Interaction	52.0	52.0	52.38095238095239
ALL	Power_(physics)	58.82352941176471	47.05882352941176	0.0
ALL	Asynchronous_Transfer_Mode	66.66666666666666	66.66666666666666	66.66666666666666
ALL	Body_language	66.66666666666666	66.66666666666666	66.66666666666666
ALL	Development_economics	63.1578947368421	57.89473684210527	0.0
ALL	Collaboration	26.47058823529412	26.47058823529412	0.0
ALL	Information_technology	80.0	80.0	0.0
ALL	E-learning	56.666666666666664	56.666666666666664	0.0
ALL	Attitude_(psychology)	38.23529411764706	38.23529411764706	0.0
ALL	Medical_ultrasonography	66.66666666666666	66.66666666666666	0.0
ALL	Biocompatibility	66.66666666666666	66.66666666666666	0.0
ALL	Green	70.0	70.0	70.0
ALL	Data_storage_device	35.294117647058826	41.17647058823529	0.0
ALL	Philosophy_of_science	52.0	50.0	0.0
ALL	3D_modeling	66.66666666666666	66.66666666666666	66.66666666666666
ALL	Concept	76.0	72.0	82.35294117647058
ALL	Technology	32.0	44.0	22.727272727272727
ALL	Foreign_language	80.0	80.0	66.66666666666666
ALL	Tutor	82.0	82.0	66.66666666666666
ALL	Pragmatism	64.0	64.0	0.0
ALL	Safety	0.0	30.0	0.0
ALL	Futures_contract	73.33333333333333	66.66666666666666	0.0
ALL	Prototype	76.0	76.0	72.0
ALL	Evaluation	56.00000000000001	40.0	0.0
ALL	Blueprint	0.0	38.0	0.0
ALL	Embedded_system	46.666666666666664	46.666666666666664	0.0
ALL	Geometry	42.10526315789473	42.10526315789473	0.0
ALL	Web_design	72.72727272727273	77.27272727272727	0.0
ALL	Terminology	76.0	68.0	0.0
ALL	Feedback	84.61538461538461	82.35294117647058	82.35294117647058
ALL	Video	56.666666666666664	50.0	53.333333333333336
ALL	Competitiveness	52.94117647058824	64.70588235294117	0.0
ALL	Discipline	23.333333333333332	30.0	0.0
ALL	Adhesive	0.0	66.66666666666666	66.66666666666666
ALL	Corporation	41.17647058823529	47.05882352941176	0.0
ALL	Globalization	76.47058823529412	82.6086956521739	0.0
ALL	Digital	36.84210526315789	33.33333333333333	0.0
ALL	Policy	73.52941176470588	73.52941176470588	0.0
ALL	Visualization_(computer_graphics)	66.66666666666666	66.66666666666666	0.0
ALL	Computer-aided_design	42.10526315789473	84.21052631578947	66.66666666666666
ALL	Parallel_computing	32.0	32.0	0.0
ALL	Quality_of_life	57.89473684210527	52.63157894736842	0.0
ALL	Ad_hoc	38.46153846153847	38.46153846153847	0.0
ALL	Compassion	66.66666666666666	66.66666666666666	66.66666666666666
ALL	3D_computer_graphics	80.0	80.0	66.66666666666666
ALL	Drink	71.42857142857143	71.42857142857143	0.0
ALL	Task_force	63.63636363636363	54.54545454545454	57.14285714285714
ALL	Anatomy	66.66666666666666	66.66666666666666	0.0
ALL	Paper	72.0	68.0	40.0
ALL	Software_framework	72.0	76.0	0.0
ALL	Academic_publishing	42.857142857142854	38.095238095238095	0.0
ALL	Mind_map	42.0	42.0	0.0
ALL	Persian_language	66.66666666666666	66.66666666666666	66.66666666666666
ALL	Disease	66.66666666666666	66.66666666666666	0.0
ALL	Fair_trade	70.0	70.0	0.0
ALL	Portuguese_language	66.66666666666666	66.66666666666666	66.66666666666666
ALL	Medical_device	66.66666666666666	66.66666666666666	0.0
ALL	WordPress	72.22222222222221	61.111111111111114	0.0
